id,latitude,longitude,location,pincode
117,25.045532,101.528068,Laxiong,100117
118,59.94043,30.2813321,Vasyl'evsky Ostrov,100118
119,33.027777,113.546942,Xiabeisi,100119
120,16.289185,119.90559,Carot,100120
121,14.7342524,121.0702642,Esperanza,100121
122,25.6697865,-80.4660256,Miami,100122
123,14.871038,-24.6949966,Vila Nova Sintra,100123
124,26.3237782,88.5167162,Panchagarh,100124
125,-20.0207751,57.6240731,Petit Raffray,100125
126,23.764143,115.969501,Baxiangshan,100126
127,39.0145274,-7.0611673,Campo Maior,100127
128,31.052914,110.332814,Guandukou,100128
129,52.2774362,85.4051549,Sovetskoye,100129
130,12.1564921,-86.3528838,Ciudad Sandino,100130
131,48.9126632,2.4201634,Bobigny,100131
132,49.16291,127.98658,Xin’e,100132
133,16.6482598,101.0118776,Khao Kho,100133
134,51.756353,14.7142269,Brody,100134
135,65.2674812,27.5126688,Puolanka,100135
136,38.7655253,-9.3448465,Albarraque,100136
137,-8.3207,123.4638,Waipukang,100137
138,-32.817807,-63.877963,General Cabrera,100138
139,-20.7784132,-41.6847632,Guaçuí,100139
140,59.4411274,30.1610699,Siverskiy,100140
141,38.8905198,-7.5457633,São Lourenço de Mamporcão,100141
142,36.5122781,36.8653891,‘Afrīn,100142
143,39.7472496,-75.5917092,Wilmington,100143
144,63.4400274,10.4024274,Trondheim,100144
145,35.4175712,10.997658,Ksour Essaf,100145
146,45.0827061,18.5064033,Kruševica,100146
147,26.938792,113.861611,Zhitang,100147
148,-23.5257248,-47.1322342,São Roque,100148
149,-8.0138,111.4166,Krajan Menggare,100149
150,-7.1591357,108.3474974,Babantar,100150
151,29.3830191,70.9139437,Alīpur,100151
152,64.9099021,25.5080144,Kurikka,100152
153,37.8806901,140.1356792,Misawa,100153
154,49.6579309,18.7059561,Třinec,100154
155,11.1305191,2.9325785,Kandi,100155
156,47.9318074,5.2893597,La Rochelle,100156
157,35.293048,112.390857,Honglu,100157
158,5.9840985,116.0761121,Kota Kinabalu,100158
159,19.5094038,-71.595154,Piedra Blanca,100159
160,32.647371,35.421551,Kafr Miṣr,100160
161,54.632212,23.9452683,Prienai,100161
162,41.7721061,-72.7038047,Hartford,100162
163,-18.0197815,31.067907,Chitungwiza,100163
164,14.9817467,-87.8893383,Santa Cruz,100164
165,22.581293,113.896129,Daohe,100165
166,-6.7751995,111.3515736,Bogorame,100166
167,30.378737,112.649998,Haokou,100167
168,9.88293,-85.529061,Sámara,100168
169,40.9370022,45.1804861,Khasht’arrak,100169
170,59.9028865,30.3175834,Admiralteisky,100170
171,13.9426434,45.6787098,Mukayrās,100171
172,35.356644,111.22472,Wenxi,100172
173,-7.2120117,111.692902,Tlatah,100173
174,-6.9535762,108.8521777,Pende,100174
175,56.029768,12.8179315,Helsingborg,100175
176,65.8261477,21.7037935,Boden,100176
177,15.596502,-87.9432837,Choloma,100177
178,22.803694,108.3323803,Lieyu,100178
179,49.336,4.0935629,Reims,100179
180,25.386379,114.922922,Xinfeng,100180
181,51.7419091,111.9603596,Mogzon,100181
182,50.7193517,15.1765093,Jablonec nad Nisou,100182
183,28.0547578,81.614468,Nepalgunj,100183
184,29.937716,110.047948,Shuishaping,100184
185,40.9089779,-8.421278,Moutas,100185
186,43.4717283,-3.7866915,Santander,100186
187,46.880102,127.507824,Qing’an,100187
188,29.844107,115.561217,Wuxue Shi,100188
189,3.856457,-68.2385339,Inírida,100189
190,-7.5613556,-40.1862129,Ipubi,100190
191,31.213534,121.445448,Muqi,100191
192,-8.6854551,115.2623991,Kentongan,100192
193,52.7038839,55.8511258,Yermolayevo,100193
194,14.9792432,104.2163411,Wang Hin,100194
195,31.074834,109.879153,Wushan,100195
196,14.8921247,-87.1711922,Marale,100196
197,48.2441219,28.2765218,Yampil’,100197
198,-9.0020538,125.6478189,Same,100198
199,41.2612832,22.9989148,Rodópoli,100199
200,62.7184038,32.7414584,Porosozero,100200
201,-4.3695455,15.3950939,Masina,100201
202,46.171607,-71.875654,Princeville,100202
203,3.0100681,101.5326734,Shah Alam,100203
204,53.2515219,19.6135793,Bartniczka,100204
205,26.647661,106.630153,Guyang,100205
206,-28.832995,-52.5745556,Soledade,100206
207,21.121444,106.1110501,Bắc Ninh,100207
208,27.754532,112.723615,Shitan,100208
209,19.379122,-99.1097687,La Purisima,100209
210,-22.570834,-47.4147321,Limeira,100210
211,47.620391,7.243036,Altkirch,100211
212,-43.2643313,-65.3506508,Telsen,100212
213,31.263629,121.58448,Liubo,100213
214,29.090585,21.3321974,Awjilah,100214
215,-39.3681199,-72.6315127,Loncoche,100215
216,-5.3810959,105.2955575,Sokarame,100216
217,42.14389,21.58778,Otlja,100217
218,27.395894,114.286422,Qingjiang,100218
219,6.7884819,-75.6816631,San José de La Montaña,100219
220,45.846967,-73.4924769,L'Épiphanie,100220
221,13.756986,121.058107,Haligue,100221
222,-20.2976178,-40.2957768,Vitória,100222
223,-7.3474138,112.7677319,Wadungasri,100223
224,45.7333281,20.6693099,Srpska Crnja,100224
225,29.5530941,118.9353968,Shicang,100225
226,50.2373675,15.6327653,Nechanice,100226
227,58.673928,17.105134,Oxelösund,100227
228,51.0144934,13.6972162,Dresden,100228
229,-7.0179497,-52.3613378,São Félix do Xingu,100229
230,45.0545731,21.3401422,Kuštilj,100230
231,42.4304196,19.2593642,Podgorica,100231
232,37.8269697,23.9667402,Kouvarás,100232
233,28.555787,121.244605,Henglin,100233
234,-37.7178812,-72.2374343,Mulchén,100234
235,35.7642515,10.8112885,Monastir,100235
236,29.8812968,111.4535119,Huolianpo,100236
237,15.5160946,120.7090355,Matayumtayum,100237
238,-7.1701665,108.3296983,Sukaraharja,100238
239,-21.9111483,-56.4719928,Bela Vista,100239
240,67.8256178,20.3351033,Kiruna,100240
241,-7.9794517,112.0416754,Ringinrejo,100241
242,45.7417486,4.8867899,Lyon,100242
243,39.4928944,-8.8783525,Feteira Pequena,100243
244,50.3290055,30.4617625,Khotiv,100244
245,-7.3743397,110.2648159,Krajan Satu,100245
246,3.856457,-68.2385339,Inírida,100246
247,29.591108,114.300474,Quankou,100247
248,19.0511285,105.4536718,Yên Thành,100248
249,51.0853063,25.0109305,Hołoby,100249
250,59.9050895,10.7673005,Oslo,100250
251,45.529774,131.846635,Mishan,100251
252,-6.7654544,108.1682147,Jatiwangi,100252
253,41.8157545,-8.3644939,Portela,100253
254,45.6851883,19.0839618,Prigrevica,100254
255,42.9038743,-78.9344814,Fort Erie,100255
256,16.167313,99.950724,Bueng Samakkhi,100256
257,41.7870665,-7.9442479,Outeiro,100257
258,50.282951,18.2785364,Bierawa,100258
259,19.1945799,101.483498,Sainyabuli,100259
260,44.7695326,19.6480341,Majur,100260
261,-7.7812913,110.5066489,Sambirejo,100261
262,-7.5831538,108.6353764,Ciparakan,100262
263,33.347316,120.16366,Piancheng,100263
264,-34.5434158,-58.5867617,Fernández,100264
265,53.7548612,20.4536838,Kortowo,100265
266,18.1096868,-95.8803869,Loma Bonita,100266
267,16.8211238,100.2658516,Phitsanulok,100267
268,18.2291677,-78.1393397,Savanna-la-Mar,100268
269,6.0067464,80.2531784,Unawatuna,100269
270,-8.602068,116.195655,Batukuta,100270
271,38.6913664,139.7516875,Tagawa,100271
272,-6.4698758,107.4780383,Cibungur,100272
273,40.7084699,72.8781322,Kara Suu,100273
274,53.4249712,58.9688869,Tuymazy,100274
275,40.7773081,-74.0186386,Xinlin,100275
276,28.003,86.303,Zuobude,100276
277,37.970285,-1.1424989,Murcia,100277
278,9.9399061,-65.1610557,Clarines,100278
279,17.4561766,50.580869,Rumāh,100279
280,23.142017,113.242025,Xicun,100280
281,14.2445365,-16.2728091,Gandiaye,100281
282,15.482604,-90.308511,San Pedro Carchá,100282
283,37.2944409,62.3682506,Yolöten,100283
284,42.1088311,21.553379,Матејче,100284
285,16.7124054,98.5746649,Mae Sot,100285
286,43.61812,118.05545,Linxi,100286
287,23.327001,112.734103,Shihui,100287
288,24.466675,112.626495,Yangsha,100288
289,49.989968,22.3314395,Sietesz,100289
290,44.351935,-87.8445954,København,100290
291,45.3913779,40.1763516,Tbilisskaya,100291
292,-7.8477615,111.5021144,Setono,100292
293,37.6254329,69.636351,Chubek,100293
294,49.6877737,37.1778581,Shevchenkove,100294
295,30.335237,112.239631,Jingzhou,100295
296,-13.7145854,26.2304616,Kasempa,100296
297,13.5616918,-15.8304975,No Kunda,100297
298,-7.4250762,108.2822389,Cinunjang,100298
299,39.7573054,67.2728697,Bulung’ur,100299
300,-17.4956441,-149.8728273,Papetoai,100300
301,-34.5903044,-58.4985279,Famaillá,100301
302,33.7311229,130.5200852,Komono,100302
303,-7.7701645,110.6511592,Kebon Tengah,100303
304,31.7338222,118.8719394,Lukou,100304
305,51.449197,7.1957779,Bochum,100305
306,26.3448341,127.833984,Okinawa,100306
307,43.4945737,5.8978018,Paris 02,100307
308,59.3763019,17.9325356,Sundbyberg,100308
309,52.5666667,78.9472223,Kulunda,100309
310,39.6222264,20.8874294,Katsikás,100310
311,30.5211502,112.8915932,Changjiang,100311
312,38.6968603,-8.7359804,Santo Isidro,100312
313,27.706424,115.467884,Shenzhengqiao,100313
314,-7.221562,111.759598,Tengger,100314
315,-6.8107874,39.2596277,Magomeni,100315
316,14.6760848,120.9873093,Little Baguio,100316
317,-6.7726186,110.8791343,Kudus,100317
318,50.5213838,2.6404239,Béthune,100318
319,28.435584,116.483259,Zhongling,100319
320,10.4853153,5.1458131,Ibeto,100320
321,19.3579802,-99.0806088,San Miguel,100321
322,41.833253,20.974874,Чегране,100322
323,-8.9877356,-78.6141851,Santa,100323
324,49.5609979,5.8741913,Pétange,100324
325,47.2115555,3.8260916,Vannes,100325
326,37.261564,111.769893,Fenyan,100326
327,-7.2801,108.1944,Parakanhonje Wetan,100327
328,-7.4703872,110.9387418,Masaran,100328
329,8.4715413,124.6404944,Kagay,100329
330,25.296878,60.6459285,Chābahār,100330
331,22.543096,114.057865,Shangzhang,100331
332,-8.1553145,111.8270486,Pakel,100332
333,45.843424,127.75061,Bin’an,100333
334,21.7960343,-79.9808143,Trinidad,100334
335,13.5775886,44.0177989,Ta‘izz,100335
336,8.955271,126.009711,San Miguel,100336
337,-42.7608818,-65.0587962,Leleque,100337
338,14.335889,-89.713497,Asunción Mita,100338
339,-6.9258108,107.6222719,Malabar,100339
340,12.5049537,107.6925674,Đắk Mil,100340
341,31.654375,120.752481,Hongsihu,100341
342,-19.4959312,-41.0713439,Aimorés,100342
343,23.696329,117.433977,Xibu,100343
344,10.7160345,124.011269,Naghalin,100344
345,-4.5329418,105.2077798,Menggala,100345
346,-22.1147688,-45.0584384,São Lourenço,100346
347,50.4810642,34.9654363,Trostyanets’,100347
348,51.9034509,16.955476,Gostyń,100348
349,38.9,-77.04,Washington,100349
350,12.3576715,29.2378899,Abū Zabad,100350
351,16.99885,121.96434,Maluno Sur,100351
352,44.977078,127.973162,Laojieji,100352
353,40.5851643,46.8429953,Qızılhacılı,100353
354,50.8137495,-119.6934422,Chase,100354
355,-13.3261109,-74.9975,Pilpichaca,100355
356,44.028793,43.1146215,Goryachevodskiy,100356
357,8.2511483,124.8514628,Kalugmanan,100357
358,-7.348395,112.7494759,Wedoro,100358
359,8.12722,122.845,Caracal,100359
360,50.1987725,39.5632497,Rossosh’,100360
361,18.6205659,-68.6978423,Salvaleón de Higüey,100361
362,39.5955323,-7.5303251,Montalvão,100362
363,47.31878,130.274684,Gongnong,100363
364,23.028301,115.84573,Beiyang,100364
365,30.9882241,121.1241334,Jixiang,100365
366,-12.8528438,-38.3271112,Lauro de Freitas,100366
367,32.7087439,-97.3617845,Fort Worth,100367
368,60.1996809,24.8958285,Taavetti,100368
369,14.739952,121.0267879,Usab,100369
370,52.05206,85.08765,Starobelokurikha,100370
371,-34.5332237,-58.5074331,Libertad,100371
372,15.3376191,-91.0268638,Cunén,100372
373,49.6542555,16.5117461,Březová nad Svitavou,100373
374,21.1231158,-101.6968667,Bellavista,100374
375,-6.6591023,106.2931013,Cilebang Satu,100375
376,10.151,122.9978,Cansolungon,100376
377,32.762022,111.709662,Xianghua,100377
378,-6.7387737,106.8768415,Caringin,100378
379,15.979273,120.8157261,Calomboyan,100379
380,-7.1504031,-34.9625932,Juàzeirinho,100380
381,47.5745404,-2.3578005,Clamart,100381
382,60.3428116,30.4896784,Garbolovo,100382
383,38.2892237,23.8248958,Markópoulo Oropoú,100383
384,36.929749,98.480195,Wulan,100384
385,50.4614333,19.0428325,Ożarowice,100385
386,49.1919498,-123.9681079,Nanmo,100386
387,-7.3825,108.16,Babakankalong,100387
388,25.234479,110.179953,Guilin,100388
389,-25.4648258,-57.0421483,Piribebuy,100389
390,22.948016,113.366904,Shiqiao,100390
391,43.4945737,5.8978018,Paris 18,100391
392,31.363043,72.98757,Sann,100392
393,-21.1661005,27.5143603,Francistown,100393
394,39.793846,116.7156302,Fatou,100394
395,49.5670697,6.1544928,Fentange,100395
396,41.88,-87.62,Chicago,100396
397,45.632343,5.112589,Saint-Quentin-Fallavier,100397
398,13.0730815,123.5982956,Jovellar,100398
399,29.756501,121.507191,Henghe,100399
400,31.364902,108.249509,Aoqiao,100400
401,41.4112348,-7.9526065,Mondim de Basto,100401
402,9.08556,125.57278,Sanghan,100402
403,34.238555,117.196805,Kuishan,100403
404,39.0527074,116.9237911,Zengguang,100404
405,52.0969643,22.0951156,Skórzec,100405
406,36.599744,101.803717,Chengdong,100406
407,30.747842,120.783024,Nanhu,100407
408,8.955271,126.009711,San Miguel,100408
409,41.5608072,-8.5863716,Souto,100409
410,25.4390388,30.5586043,Al Khārijah,100410
411,36.759507,110.632006,Yongheshi,100411
412,30.823526,91.622728,Golug,100412
413,27.948308,109.599191,Fengjiang,100413
414,-7.2578125,108.1966055,Bunirasa,100414
415,-6.7587465,111.6809778,Temperak,100415
416,44.164709,38.9989611,Nebug,100416
417,41.0909864,-8.4901287,Foz Sousa,100417
418,19.3004022,-98.9341937,Independencia,100418
419,13.0748879,120.7213113,Santa Cruz,100419
420,39.6454395,-8.8259105,Quinta do Sobrado,100420
421,-31.646394,-63.760259,Costa Sacate,100421
422,27.91072,104.540674,Haoba,100422
423,35.218292,106.653158,Huating,100423
424,49.666675,19.2774975,Świnna,100424
425,-0.45964,100.590599,Batusangkar,100425
426,-32.075,115.779362,Honglin,100426
427,23.7318903,-99.1502962,Miguel Hidalgo,100427
428,30.183806,120.264253,Xushan,100428
429,-7.55,111.283333,Dadapan,100429
430,55.4872242,37.3046546,Troitsk,100430
431,18.144657,-94.4189829,Leyuan,100431
432,53.2058,34.6649001,Belyye Berega,100432
433,42.009313,20.9713986,Tetovo,100433
434,22.579117,113.081508,Jiangcun,100434
435,53.1387595,-7.0625888,Monasterevin,100435
436,33.2437603,131.6853045,Tsurusaki,100436
437,49.863612,-119.5644584,West Kelowna,100437
438,50.2294568,16.2923097,Skuhrov nad Bělou,100438
439,59.3673245,17.8425299,Hässelby,100439
440,13.4677672,144.7453228,Agana Heights Village,100440
441,-8.577582,115.136457,Banjar Laing,100441
442,16.004175,120.7806412,San Quintin,100442
443,58.6429512,13.6587955,Mariestad,100443
444,41.0174461,-7.7750036,Tarouca,100444
445,23.020673,113.751799,Donggu,100445
446,48.418023,23.7371118,Kolochava,100446
447,13.9740494,-86.5425921,Araulí,100447
448,-6.8806715,108.5017948,Panawuan,100448
449,41.1024492,-81.4992884,Akron,100449
450,48.7911354,26.6912362,Makiv,100450
451,23.0706415,112.4852219,Yanqian,100451
452,-6.7612368,111.6273187,Nglojo,100452
453,-9.9165208,-70.1455805,Manoel Urbano,100453
454,9.4312231,-69.9520561,Paraíso de Chabasquén,100454
455,60.2285503,23.1228098,Perniö,100455
456,-21.7853787,-46.5619303,Poços de Caldas,100456
457,39.819732,-8.8093934,Monte Agudo,100457
458,16.3138561,102.6905326,Phra Yuen,100458
459,44.4309874,34.0789969,Koreiz,100459
460,-43.417615,172.6519706,Kaiapoi,100460
461,-31.4505323,-64.1847851,Villa Nueva,100461
462,9.1374129,125.5593311,Comagascas,100462
463,45.4002994,29.5961736,Vylkove,100463
464,42.14389,21.58778,Otlja,100464
465,19.6402143,-99.0654022,La Laguna,100465
466,46.342574,86.242359,Xazgat,100466
467,-10.7072554,22.22946,Luau,100467
468,-6.160726,106.915202,Kajanan,100468
469,51.42582,17.93378,Ostrzeszów,100469
470,59.3779388,10.7605604,Moss,100470
471,43.516667,109.116667,Naran Bulag,100471
472,46.0771644,32.5299379,Lazurne,100472
473,19.0077085,-69.7320914,Gonzalo,100473
474,-7.690753,109.2861268,Sidaurip,100474
475,45.3044566,-73.8746233,Beauharnois,100475
476,7.420267,122.8417436,Sagasa,100476
477,41.1279946,-7.9859629,Castelo,100477
478,-42.7602412,-65.0604467,Tecka,100478
479,-0.2467982,109.6163185,Sungai Raya,100479
480,26.312444,99.850365,Shaxi,100480
481,32.748741,103.82319,Huanglong,100481
482,32.6546275,51.6679826,Isfahan,100482
483,-7.698725,113.8465758,Pasirputih,100483
484,58.5023638,13.1702373,Lidköping,100484
485,48.4493055,22.7117106,Mukacheve,100485
486,-6.1382732,-77.0967357,Soritor,100486
487,59.2416497,14.4338249,Karlskoga,100487
488,42.9107754,21.1956273,Podujeva,100488
489,31.739255,130.670516,Kajiki,100489
490,42.1144473,-72.4909026,Springfield,100490
491,17.263531,121.834345,Tumauini,100491
492,31.9633663,49.2892129,Masjed Soleymān,100492
493,47.4376347,-70.5082419,Baie-Saint-Paul,100493
494,-8.0941273,112.274168,Talun,100494
495,14.262652,121.498915,Cavinti,100495
496,38.521085,102.194089,Jinchuan,100496
497,42.3604802,-71.0590624,Boston,100497
498,11.3460734,9.6591939,Samamiya,100498
499,40.4696026,-80.0388543,Pittsburgh,100499
500,12.07539,109.140438,Cam Lâm,100500
501,49.0054448,16.598735,Žabčice,100501
502,16.0432035,119.9370328,Pung-Pang,100502
503,49.5178845,6.190803,Frisange,100503
504,23.17277,114.289528,Boluo,100504
505,43.0015252,41.0234153,Sokhumi,100505
506,14.6066438,104.705431,Kantharalak,100506
507,36.7821,117.032171,Daqiao,100507
508,-34.6698749,-58.5616502,Florencio Varela,100508
509,23.030446,113.734466,Qianpai,100509
510,34.931466,109.449831,Xingzhen,100510
511,7.8193502,-72.2238815,Táriba,100511
512,53.0222045,-112.8285983,Camrose,100512
513,53.3126826,22.9196898,Knyszyn,100513
514,66.4924399,25.755466,Ranua,100514
515,-40.4824138,175.3010644,Foxton,100515
516,16.1535575,-13.5032081,Kaédi,100516
517,33.011529,114.022298,Chuanbu,100517
518,51.766482,55.36468,Nezhinka,100518
519,60.502878,43.5649824,Tarnogskiy Gorodok,100519
520,47.4047584,29.1057554,Tsybulevka,100520
521,33.570769,117.015187,Duanjia,100521
522,-33.326671,-60.2336692,Viale,100522
523,35.0880511,-106.6873356,La Esperanza,100523
524,41.8033445,-7.5528376,Santa Cruz,100524
525,35.3890138,139.5007628,Fukayachō,100525
526,23.1833095,113.358579,Xomong,100526
527,39.871981,116.686439,Tuqiao,100527
528,36.1638542,139.0842383,Inazawa,100528
529,-15.25055,-71.0927279,Condoroma,100529
530,-21.9953615,-42.9146039,Sapucaia,100530
531,-7.02476,107.08093,Gunungjulang,100531
532,45.469429,12.2400678,Mestre,100532
533,57.5275396,12.0592344,Kungsbacka,100533
534,-6.13333,39.28333,Koani Ndogo,100534
535,52.1327312,18.2293232,Stare Miasto,100535
536,38.9374808,-77.0852258,Washington,100536
537,54.5940619,-5.9308088,Belfast,100537
538,45.116904,42.503334,Spitsevka,100538
539,42.735656,121.8107,Kulun,100539
540,32.187849,119.425836,Zhenjiang,100540
541,55.59754,38.47134,Rechitsy,100541
542,53.3934077,17.6633805,Sośno,100542
543,-21.1330059,-41.7407394,Bom Jesus do Itabapoana,100543
544,40.6816244,-8.6291241,Cabeço,100544
545,36.883077,22.5489792,Krokeaí,100545
546,35.099528,117.461517,Shanting,100546
547,22.3908295,113.9725126,Tuen Mun,100547
548,54.9086072,82.9751504,Sovetskoye,100548
549,31.617202,104.46797,Beichan,100549
550,49.4150717,18.109785,Valašská Bystřice,100550
551,-16.521513,-50.3730843,São Luís de Montes Belos,100551
552,20.5800358,-75.2435307,Sagua de Tánamo,100552
553,8.9679001,-71.2740573,Tucaní,100553
554,2.3390467,42.2880059,Baardheere,100554
555,40.590023,19.6440066,Cakran,100555
556,20.1400094,-75.2128996,Guantánamo,100556
557,53.1106929,20.3964722,Żabieniec,100557
558,9.329496,125.554433,Jabonga,100558
559,-6.1869527,106.1698563,Curug,100559
560,-7.6492089,111.4395128,Bendo,100560
561,16.7095,33.3565,El Matama,100561
562,31.035395,112.199427,Jingmen,100562
563,40.5544993,-7.9843201,Silvares,100563
564,55.662882,37.5826719,Zyuzino,100564
565,40.152053,-8.3479579,Senhor da Serra,100565
566,50.7054502,15.3203304,Plavy,100566
567,19.2874648,-99.6494479,5 de Mayo,100567
568,22.843818,114.164223,Qinxi,100568
569,-15.158624,-48.2802925,Padre Bernardo,100569
570,16.228139,120.4936309,Subusub,100570
571,50.6398985,15.8196702,Svoboda nad Úpou,100571
572,56.0956089,27.532459,Dagda,100572
573,43.8832308,141.7351885,Rumoi,100573
574,34.319658,104.562412,Lujing Zhen,100574
575,50.0287787,21.7557084,Iwierzyce,100575
576,32.082978,35.364579,Majdal Banī Fāḑil,100576
577,-20.692675,164.991636,Hienghène,100577
578,35.1148773,33.1435877,Meniko,100578
579,29.0755457,-110.9610195,Fovissste,100579
580,14.105202,-15.5415755,Kaffrine,100580
581,14.3839328,121.050126,Santo Niño,100581
582,33.25,69.216667,Nīkêh,100582
583,52.20775,21.077623,Mokotów,100583
584,55.9576019,36.2249059,Sychëvo,100584
585,15.4217858,51.678158,Qishn,100585
586,8.519857,123.533832,La Libertad,100586
587,40.8103206,19.9199137,Kuçovë,100587
588,41.226934,-8.3815652,Valinhos,100588
589,39.9799992,-105.248737,Boulder,100589
590,50.5205623,116.3132019,Olovyannaya,100590
591,29.899044,121.844618,Beilun,100591
592,8.5681393,-70.3583879,El Corozo,100592
593,50.0344323,15.418462,Chvaletice,100593
594,45.991471,4.718821,Villefranche-sur-Saône,100594
595,38.853468,121.2502,Shuishiying,100595
596,40.0725348,44.3051313,Haykashen,100596
